IP:Port,Loss,Latency
188.114.96.154:7281,0%,72.10
188.114.96.6:928,0%,72.13
188.114.97.202:890,0%,72.25
188.114.97.75:890,0%,73.09
188.114.96.243:8886,0%,73.15
188.114.96.82:7156,0%,73.37
188.114.97.142:942,0%,73.45
188.114.97.178:2408,0%,73.50
188.114.96.85:2371,0%,73.52
188.114.96.158:8319,0%,73.53
188.114.96.71:5279,0%,73.55
188.114.96.222:1014,0%,73.55
188.114.96.165:3854,0%,73.56
188.114.97.31:1387,0%,73.58
188.114.97.85:894,0%,73.61
188.114.96.82:890,0%,73.63
188.114.97.226:928,0%,73.66
188.114.97.26:854,0%,73.67
188.114.96.147:934,0%,73.69
188.114.97.218:8886,0%,73.75
188.114.97.28:934,0%,73.79
188.114.96.16:7559,0%,73.79
188.114.97.82:946,0%,73.85
188.114.97.23:3476,0%,73.86
188.114.96.60:8854,0%,73.87
188.114.96.33:903,0%,73.87
188.114.96.233:8886,0%,73.92
188.114.96.32:880,0%,78.71
188.114.97.17:8742,0%,78.86
188.114.97.130:7559,0%,79.01
188.114.97.234:880,0%,79.02
188.114.97.58:955,0%,79.10
188.114.97.163:903,0%,79.11
188.114.97.121:1002,0%,79.20
188.114.97.173:5279,0%,79.26
188.114.96.57:864,0%,79.28
188.114.97.132:903,0%,79.29
188.114.97.138:854,0%,79.30
188.114.97.106:2408,0%,79.30
188.114.97.27:854,0%,79.30
188.114.97.218:7152,0%,79.30
188.114.97.197:3854,0%,79.33
188.114.97.107:1010,0%,79.41
188.114.96.253:878,0%,79.44
188.114.97.223:880,0%,79.44
188.114.97.19:988,0%,79.47
188.114.97.113:7281,0%,79.50
188.114.96.200:7559,0%,79.53
188.114.97.242:987,0%,79.55
188.114.97.210:7103,0%,79.62
188.114.97.141:1180,0%,79.67
188.114.97.117:2408,0%,81.32
188.114.97.222:1701,0%,81.36
188.114.96.135:894,0%,81.39
188.114.96.192:946,0%,81.65
188.114.96.83:1070,0%,81.68
188.114.96.20:988,0%,81.73
188.114.96.36:2371,0%,81.76
188.114.96.60:3476,0%,81.79
188.114.96.247:7156,0%,81.79
188.114.96.59:8319,0%,81.80
188.114.97.38:878,0%,81.83
188.114.96.79:859,0%,81.84
188.114.96.57:859,0%,81.87
188.114.97.135:7152,0%,81.88
188.114.96.217:8319,0%,81.91
188.114.96.175:2506,0%,81.92
188.114.96.221:878,0%,81.93
188.114.97.120:942,0%,81.95
188.114.97.82:500,0%,81.95
188.114.97.121:7156,0%,81.96
188.114.96.245:943,0%,81.96
188.114.97.221:968,0%,81.97
188.114.97.179:3581,0%,81.99
188.114.97.50:908,0%,82.00
188.114.97.217:1843,0%,82.01
188.114.96.42:1018,0%,82.01
188.114.96.36:1010,0%,82.01
188.114.96.248:908,0%,82.03
188.114.96.231:2408,0%,82.03
188.114.96.93:859,0%,82.03
188.114.97.226:1010,0%,82.05
188.114.96.23:1010,0%,82.07
188.114.97.237:4233,0%,82.09
188.114.97.60:8742,0%,82.17
188.114.97.84:7559,0%,85.48
188.114.97.32:1701,0%,85.54
188.114.96.253:4233,0%,85.59
188.114.97.170:1387,0%,85.68
188.114.96.100:864,0%,85.75
188.114.96.231:946,0%,85.75
188.114.97.172:988,0%,85.87
188.114.97.20:1074,0%,85.97
188.114.96.30:1843,0%,86.01
188.114.97.175:1180,0%,86.06
188.114.97.206:939,0%,86.07
188.114.97.219:2371,0%,86.08
188.114.96.12:1180,0%,86.11
188.114.97.19:934,0%,86.11
188.114.97.77:943,0%,86.14
188.114.97.90:890,0%,86.15
188.114.96.187:1070,0%,86.15
188.114.96.254:903,0%,86.16
188.114.97.22:1010,0%,86.20
188.114.97.204:987,0%,86.20
188.114.97.125:939,0%,86.21
188.114.97.93:939,0%,86.22
188.114.97.1:987,0%,86.22
188.114.96.81:891,0%,86.24
188.114.96.182:8319,0%,86.24
188.114.96.0:1701,0%,86.26
188.114.97.94:3476,0%,86.27
188.114.96.8:5279,0%,86.30
188.114.96.6:1701,0%,86.31
188.114.96.159:8886,0%,86.35
188.114.97.180:4233,0%,86.37
188.114.97.118:934,0%,86.37
188.114.97.250:1180,0%,86.38
188.114.96.113:7559,0%,86.40
188.114.96.56:945,0%,86.40
188.114.97.6:1014,0%,86.45
188.114.96.199:934,0%,86.50
188.114.96.135:1843,0%,88.57
188.114.97.190:943,0%,88.59
188.114.97.69:8319,0%,88.59
188.114.96.170:988,0%,88.63
188.114.96.247:8319,0%,88.68
188.114.97.98:7152,0%,88.69
188.114.96.80:1701,0%,88.74
188.114.96.144:878,0%,88.98
188.114.97.248:854,0%,89.04
188.114.96.238:1010,0%,89.04
188.114.96.169:890,0%,89.06
188.114.96.18:7103,0%,89.08
188.114.96.159:934,0%,89.10
188.114.97.117:7152,0%,89.12
188.114.96.127:854,0%,89.13
188.114.97.27:946,0%,89.14
188.114.96.94:7152,0%,89.16
188.114.97.11:987,0%,89.17
188.114.96.172:903,0%,89.18
188.114.96.114:908,0%,89.19
188.114.97.156:943,0%,89.24
188.114.96.193:939,0%,89.25
188.114.96.103:943,0%,89.26
188.114.97.50:3138,0%,89.26
188.114.96.135:890,0%,89.31
188.114.97.12:7156,0%,89.33
188.114.96.180:1387,0%,89.33
188.114.96.35:987,0%,89.34
188.114.96.52:1387,0%,89.35
188.114.97.207:955,0%,89.38
188.114.97.1:955,0%,89.40
188.114.97.41:854,0%,89.43
188.114.96.43:3138,0%,89.44
188.114.96.120:8854,0%,89.78
188.114.96.92:854,0%,91.91
188.114.96.99:987,0%,95.45
188.114.97.175:1074,0%,95.50
188.114.96.27:7156,0%,95.55
188.114.97.125:4198,0%,95.61
188.114.97.193:8854,0%,95.66
188.114.96.73:943,0%,95.90
188.114.96.110:1014,0%,95.97
188.114.96.231:1002,0%,95.97
188.114.97.238:8886,0%,95.98
188.114.96.146:7152,0%,95.99
188.114.97.0:7103,0%,96.01
188.114.97.136:7103,0%,96.01
188.114.97.130:8319,0%,96.02
188.114.97.118:946,0%,96.02
188.114.97.223:890,0%,96.03
188.114.96.210:7156,0%,96.04
188.114.97.36:946,0%,96.05
188.114.96.57:1074,0%,96.05
188.114.97.70:946,0%,96.06
188.114.96.216:943,0%,96.07
188.114.97.192:4177,0%,96.10
188.114.96.201:946,0%,96.10
188.114.96.211:7156,0%,96.10
188.114.96.195:1018,0%,96.10
188.114.97.174:1387,0%,96.14
188.114.96.49:1074,0%,96.14
188.114.96.130:3138,0%,96.18
188.114.97.114:945,0%,96.19
188.114.96.173:968,0%,96.19
188.114.96.169:2408,0%,96.20
188.114.97.220:8886,0%,96.20
188.114.97.98:890,0%,96.21
188.114.97.181:891,0%,96.22
188.114.97.42:1387,0%,96.22
188.114.97.145:7156,0%,96.23
188.114.96.148:7559,0%,96.24
188.114.96.219:7156,0%,96.28
188.114.96.254:4198,0%,96.28
188.114.96.98:3138,0%,96.36
188.114.96.213:5956,0%,96.39
188.114.96.196:903,0%,96.39
188.114.96.114:3854,0%,96.41
188.114.96.41:880,0%,96.44
188.114.96.157:988,0%,96.45
188.114.96.100:3138,0%,96.50
188.114.97.214:2371,0%,96.56
188.114.97.91:1014,0%,96.56
